bucket,bet_per_hand,hands,freq,edge_pct,ev_hour,sd_hour,avg_initial_bet,n0_rounds,ror_pct
<=-5,10,1,0.04014685,-9.411323677947335,59.83184199999999,751.4813682356573,25.143195000000002,15459.582592586688,1.4437143429370243
-4,10,1,0.025245,-6.272925331748861,59.83184199999999,751.4813682356573,25.143195000000002,15459.582592586688,1.4437143429370243
-3,10,1,0.04014875,-5.018587129113609,59.83184199999999,751.4813682356573,25.143195000000002,15459.582592586688,1.4437143429370243
-2,10,1,0.06856875,-3.858609060249749,59.83184199999999,751.4813682356573,25.143195000000002,15459.582592586688,1.4437143429370243
-1,10,1,0.1173585,-2.4623695769799374,59.83184199999999,751.4813682356573,25.143195000000002,15459.582592586688,1.4437143429370243
0,10,1,0.43095985,-0.8124770787812368,59.83184199999999,751.4813682356573,25.143195000000002,15459.582592586688,1.4437143429370243
1,20,1,0.1113071,0.7819806643062303,59.83184199999999,751.4813682356573,25.143195000000002,15459.582592586688,1.4437143429370243
2,40,1,0.0652756,2.25183682723713,59.83184199999999,751.4813682356573,25.143195000000002,15459.582592586688,1.4437143429370243
3,80,1,0.0384573,2.9721275284536355,59.83184199999999,751.4813682356573,25.143195000000002,15459.582592586688,1.4437143429370243
4,160,1,0.0241578,4.4126534701007545,59.83184199999999,751.4813682356573,25.143195000000002,15459.582592586688,1.4437143429370243
5,160,1,0.01467655,5.3326565166881865,59.83184199999999,751.4813682356573,25.143195000000002,15459.582592586688,1.4437143429370243
6,160,1,0.009199,7.225241874116752,59.83184199999999,751.4813682356573,25.143195000000002,15459.582592586688,1.4437143429370243
7,160,1,0.00560745,7.48914390676689,59.83184199999999,751.4813682356573,25.143195000000002,15459.582592586688,1.4437143429370243
>=8,160,1,0.0088915,9.679469155935443,59.83184199999999,751.4813682356573,25.143195000000002,15459.582592586688,1.4437143429370243
