row_type,mode,rounds,ev_per_round,ev_95ci,sd_per_round,avg_initial_bet,avg_final_wager,ev_per_initial_bet_pct,paired_diff_vs_exact,paired_diff_95ci
mode,exact,5000000,1.458995,0.10591490276616529,120.83312368133986,37.674359,59.3816,3.872647176293033,,
mode,half,5000000,1.270071,0.09433350900825271,107.62047892782748,34.473189,54.336884,3.6842283433656227,-0.1889240000000001,
mode,full,5000000,1.0379,0.08090825541249959,92.30426481799202,30.38212,47.895085,3.416153974772004,-0.421095,
paired_diff,half-exact,5000000,,,24.602935347682074,,,,-0.188924,0.021565423666312217
paired_diff,full-exact,5000000,,,44.48189445157406,,,,-0.421095,0.0389900995865826
