strategy,seeds,rounds,profit_units,initial_bet_units,final_wager_units,ev_units_per_round,seed_ev_sd,seed_ev_se95,ev_per_initial_bet_pct,ev_per_total_action_pct,avg_initial_bet,avg_final_wager
basic,5,50000000,2783385.0,121134632.0,190886616.0,0.0556677,0.0021457182666883372,0.0018808049867122323,2.2977615517913987,1.4581352314402178,2.42269264,3.81773232
tested-deviations,5,50000000,2927980.0,121301574.0,191530453.0,0.0585596,0.0021178200525540413,0.0018563511238362212,2.413802149014159,1.5287281756703202,2.42603148,3.83060906
