strategy,seed,rounds,profit_units,initial_bet_units,final_wager_units,ev_units_per_round,sd_units_per_round,ev_per_initial_bet_pct,ev_per_total_action_pct,avg_initial_bet,avg_final_wager
basic,202607080,10000000,525163.0,24225286.0,38171828.0,0.0525163,7.07280180255564,2.167829927787024,1.375786876122359,2.4225286,3.8171828
tested-deviations,202607080,10000000,566336.0,24261310.0,38304280.0,0.0566336,7.10624749325205,2.334317479146839,1.4785188495906985,2.426131,3.830428
basic,202607081,10000000,554864.0,24261649.0,38219258.0,0.0554864,7.0917263525473855,2.2870003601156705,1.4517916595869025,2.4261649,3.8219258
tested-deviations,202607081,10000000,579109.0,24294049.0,38346580.0,0.0579109,7.121562625411729,2.383748382165525,1.5101972587907448,2.4294049,3.834658
basic,202607082,10000000,562148.0,24214822.0,38166462.0,0.0562148,7.087631388289106,2.321503746754777,1.472884754159293,2.4214822,3.8166462
tested-deviations,202607082,10000000,576853.0,24248826.0,38293790.0,0.0576853,7.11870930057998,2.378890425458123,1.5063878503538042,2.4248826,3.829379
basic,202607083,10000000,585222.0,24206767.0,38141440.0,0.0585222,7.087222964751931,2.417596699303133,1.5343468940868514,2.4206767,3.814144
tested-deviations,202607083,10000000,621680.0,24239866.0,38271100.0,0.062168,7.118445092839868,2.564700646447468,1.6244111091659241,2.4239866,3.82711
basic,202607084,10000000,555988.0,24226108.0,38187628.0,0.0555988,7.097918988931796,2.2949951350006366,1.4559375093944038,2.4226108,3.8187628
tested-deviations,202607084,10000000,584002.0,24257523.0,38314703.0,0.0584002,7.123972951706088,2.4075087963433033,1.5242242645075443,2.4257523,3.8314703
