player,dealer,tc,decks_remaining,action,rounds,ev,sd,ci95,best_action,delta_vs_best
"T,6",T,-1,4.5,H,10000,-0.5451,0.7843251812864355,0.015372773553214134,H,0.0
"T,6",T,-1,4.5,S,10000,-0.5889,0.772332046467062,0.015137708110754416,H,-0.04379999999999995
"T,6",T,0,4.5,H,10000,-0.5734,0.7660368398451864,0.015014322060965654,H,0.0
"T,6",T,0,4.5,S,10000,-0.5918,0.7709557445145603,0.01511073259248538,H,-0.018399999999999972
"T,6",T,1,4.5,H,10000,-0.577,0.7647685924513374,0.014989464412046214,H,0.0
"T,6",T,1,4.5,S,10000,-0.6023,0.7611404009773757,0.014918351859156562,H,-0.02529999999999999
"T,6",T,2,4.5,H,10000,-0.5894,0.7584244458085458,0.014865119137847499,H,0.0
"T,6",T,2,4.5,S,10000,-0.6032,0.7639042871983375,0.014972524029087416,H,-0.013799999999999923
