strategy,seeds,rounds,profit_units,initial_bet_units,final_wager_units,ev_units_per_round,seed_ev_sd,seed_ev_se95,ev_per_initial_bet_pct,ev_per_total_action_pct,avg_initial_bet,avg_final_wager
basic,5,10000000,551669.0,24265429.0,38231984.0,0.0551669,0.005730011108191676,0.005022576185100232,2.2734772173201634,1.442951535028891,2.4265429,3.8231984
tested-deviations,5,10000000,587291.0,24298837.0,38366549.0,0.0587291,0.005608196450285957,0.004915800929652868,2.4169510664234672,1.5307371012180429,2.4298837,3.8366549
