true_count_bucket,rounds,avg_initial_bet_units,avg_final_wager_units,ev_units_per_round,ev_dollars_per_round,sd_units_per_round,ev_per_initial_bet_pct,profit_units
<=-5,449732,2.0,3.1657520478862966,-0.21357830885949855,-5.339457721487464,2.6492922272909945,-10.678915442974928,-96053.0
-4,432051,2.0,3.157585562815501,-0.14806353879518852,-3.701588469879713,2.650490410286773,-7.403176939759427,-63971.0
-3,798390,2.0,3.153409987600045,-0.11672866644121294,-2.9182166610303235,2.6450540004180128,-5.836433322060647,-93195.0
-2,1456287,2.0,3.151008695401387,-0.08440849914886282,-2.1102124787215706,2.6412567087280454,-4.220424957443141,-122923.0
-1,2666008,2.0,3.15102992939256,-0.054709888342420576,-1.3677472085605145,2.6452707450065804,-2.735494417121029,-145857.0
0,8666733,2.0,3.1504836943748007,-0.017256675612367427,-0.4314168903091857,2.6467140462831305,-0.8628337806183715,-149559.0
1,2539975,2.0,3.1493199736217874,0.020363192551107787,0.5090798137776946,2.648353382299598,1.0181596275553892,51722.0
2,1390268,2.0,3.1487152117433475,0.04548331688566521,1.1370829221416303,2.6467907041193652,2.2741658442832606,63234.0
3,761831,2.0,3.1509521140515417,0.07695407511639721,1.9238518779099303,2.65450326276624,3.84770375581986,58626.0
4,412638,2.0,3.149365787930341,0.10637410999471691,2.659352749867923,2.652590644082318,5.318705499735846,43894.0
5,217072,2.0,3.1501160905137464,0.1289710326527604,3.2242758163190097,2.6565224617089305,6.448551632638019,27996.0
6,110988,2.0,3.157007964825026,0.16575665837748224,4.143916459437056,2.670612779881332,8.287832918874113,18397.0
7,54070,2.0,3.1627334936193825,0.20305159977806547,5.076289994451637,2.6628283162592976,10.152579988903273,10979.0
>=8,43957,2.0,3.170735036512956,0.24392019473576448,6.098004868394112,2.6987196477923923,12.196009736788225,10722.0
