true_count_bucket,rounds,avg_initial_bet_units,avg_final_wager_units,ev_units_per_round,ev_dollars_per_round,sd_units_per_round,ev_per_initial_bet_pct,profit_units
<=-5,605376,2.0,3.161093270958875,-0.20781795115762766,-5.195448778940691,2.646681061828122,-10.390897557881383,-125808.0
-4,546833,2.0,3.1560092386523855,-0.12661818141919012,-3.165454535479753,2.64471608326277,-6.330909070959507,-69239.0
-3,733414,2.0,3.152546856209453,-0.10726001957966441,-2.68150048949161,2.644895250198113,-5.363000978983221,-78666.0
-2,1584345,2.0,3.1520300187143584,-0.0759373747510801,-1.8984343687770027,2.6448035610422655,-3.796868737554005,-120311.0
-1,2336715,2.0,3.1511720513627037,-0.052229732765870035,-1.305743319146751,2.6451092921241997,-2.611486638293502,-122046.0
0,8663571,2.0,3.1508605400706013,-0.017639608424747717,-0.4409902106186929,2.64741731719688,-0.8819804212373858,-152822.0
1,2220811,2.0,3.149516550485386,0.020378141138530023,0.5094535284632505,2.6479743424783577,1.018907056926501,45256.0
2,1512857,2.0,3.150326831947765,0.04354542431968124,1.088635607992031,2.649124220022194,2.177271215984062,65878.0
3,699187,2.0,3.1491060331499297,0.06652297597066308,1.6630743992665769,2.646043985838839,3.3261487985331537,46512.0
4,521768,2.0,3.1513067110286563,0.09356457276030726,2.3391143190076815,2.652165006706967,4.678228638015363,48819.0
5,224928,2.0,3.152408770806658,0.11543693982074264,2.885923495518566,2.653673933585035,5.7718469910371315,25965.0
6,178041,2.0,3.1504035587308543,0.14004077712437024,3.501019428109256,2.652902597055109,7.002038856218512,24933.0
7,69373,2.0,3.1546134663341645,0.14133740792527352,3.533435198131838,2.6603402655386246,7.066870396263676,9805.0
>=8,102781,2.0,3.162812192915033,0.23541316001984802,5.885329000496201,2.677998346898588,11.770658000992402,24196.0
