true_count_bucket,rounds,avg_initial_bet_units,avg_final_wager_units,ev_units_per_round,ev_dollars_per_round,sd_units_per_round,ev_per_initial_bet_pct,profit_units
<=-5,181033,1.0,1.579054647495208,-0.09968900697662857,-2.4922251744157142,1.6385941080165658,-9.968900697662857,-18047.0
-4,278896,1.0,1.5769462451953415,-0.07520007457977167,-1.8800018644942917,1.640593639580606,-7.520007457977167,-20973.0
-3,633290,1.0,1.5777068957349714,-0.054205814082016135,-1.3551453520504033,1.643589596731832,-5.420581408201614,-34328.0
-2,1353189,1.0,1.5760673490547144,-0.04180347312903076,-1.045086828225769,1.64693417585778,-4.180347312903075,-56568.0
-1,2780675,1.0,1.5753642550819495,-0.027373569367150064,-0.6843392341787516,1.6492823070528273,-2.737356936715006,-76117.0
0,9831482,1.0,1.575283970412599,-0.008510924395731997,-0.21277310989329992,1.6535243303250666,-0.8510924395731997,-83675.0
1,2636380,1.0,1.5757030473603957,0.010693830176226493,0.26734575440566233,1.656977497546697,1.0693830176226493,28193.0
2,1278211,1.0,1.5739850462873501,0.022191954223520216,0.5547988555880055,1.6584789816055403,2.219195422352022,28366.0
3,596431,1.0,1.5753037652301776,0.03539889777694318,0.8849724444235796,1.6640575392380248,3.5398897776943183,21113.0
4,262559,1.0,1.576777029162969,0.05212542704687327,1.3031356761718318,1.6681742810458007,5.212542704687327,13686.0
5,107273,1.0,1.5806959812814034,0.06090069262535773,1.5225173156339433,1.6764055733033336,6.090069262535773,6533.0
6,40300,1.0,1.579305210918114,0.0756575682382134,1.891439205955335,1.6796425242566815,7.5657568238213395,3049.0
7,13967,1.0,1.5852366291973938,0.07267129662776545,1.8167824156941361,1.6817629655919584,7.2671296627765445,1015.0
>=8,6314,1.0,1.5894836870446627,0.1035793474817865,2.5894836870446625,1.696400029749919,10.35793474817865,654.0
