true_count_bucket,rounds,avg_initial_bet_units,avg_final_wager_units,ev_units_per_round,ev_dollars_per_round,sd_units_per_round,ev_per_initial_bet_pct,profit_units
<=-5,248446,2.0,3.159857675309725,-0.1828445617961247,-4.571114044903117,2.644216559586472,-9.142228089806235,-45427.0
-4,364339,2.0,3.1588026535726343,-0.1287729285088887,-3.2193232127222173,2.650205447080746,-6.438646425444435,-46917.0
-3,618801,2.0,3.154148102540235,-0.10328522416738176,-2.582130604184544,2.644181309217135,-5.164261208369088,-63913.0
-2,1476960,2.0,3.1520772397356733,-0.08338682157946051,-2.084670539486513,2.6456554929251106,-4.169341078973026,-123159.0
-1,2496371,2.0,3.1507844787493524,-0.05386499042009381,-1.3466247605023451,2.644990156661603,-2.6932495210046903,-134467.0
0,9886911,2.0,3.150677800174392,-0.01819486389631706,-0.45487159740792654,2.647997805987743,-0.909743194815853,-179891.0
1,2356911,2.0,3.15047152819941,0.01447487834712469,0.3618719586781173,2.6487437152410496,0.7237439173562344,34116.0
2,1396308,2.0,3.149840149880972,0.040743159818607357,1.0185789954651838,2.6474693707848593,2.0371579909303676,56890.0
3,582698,2.0,3.1529814758245265,0.07044644052322128,1.7611610130805322,2.6535699624173685,3.5223220261610644,41049.0
4,341426,2.0,3.1537639195609004,0.10121373299045767,2.530343324761442,2.655963407281236,5.060686649522883,34557.0
5,125014,2.0,3.1558785416033404,0.11486713488089334,2.8716783720223336,2.65630077343651,5.743356744044667,14360.0
6,69069,2.0,3.1532235880061967,0.14402988316031795,3.6007470790079488,2.6633142613237317,7.2014941580158975,9948.0
7,21170,2.0,3.16452527161077,0.15904581955597544,3.976145488899386,2.674654854150556,7.952290977798772,3367.0
>=8,15576,2.0,3.157100667693888,0.2113507960965588,5.28376990241397,2.6768500169133365,10.567539804827941,3292.0
