true_count_bucket,rounds,avg_initial_bet_units,avg_final_wager_units,ev_units_per_round,ev_dollars_per_round,sd_units_per_round,ev_per_initial_bet_pct,profit_units
<=-5,417951,1.0,1.5809987295161394,-0.09372629805886336,-2.343157451471584,1.6409979244184962,-9.372629805886335,-39173.0
-4,446079,1.0,1.5767745175181975,-0.06530681785064978,-1.6326704462662445,1.6419872626476315,-6.530681785064977,-29132.0
-3,716787,1.0,1.5769942814253048,-0.05105142810904774,-1.2762857027261936,1.6452880440697566,-5.105142810904773,-36593.0
-2,1527444,1.0,1.5754286245518658,-0.0389709868250489,-0.9742746706262226,1.6462859031539756,-3.8970986825048906,-59526.0
-1,2468657,1.0,1.575544111636408,-0.02587884829686749,-0.6469712074216872,1.6494858410113655,-2.5878848296867485,-63886.0
0,9142410,1.0,1.575366560895869,-0.009198559242037932,-0.22996398105094829,1.6540096588122601,-0.9198559242037931,-84097.0
1,2342242,1.0,1.575334231048713,0.006855824462203308,0.1713956115550827,1.6569785502589969,0.6855824462203308,16058.0
2,1448806,1.0,1.5754096821796708,0.02089306642849353,0.5223266607123382,1.6618251271556586,2.0893066428493534,30270.0
3,677998,1.0,1.5748851766524385,0.03053401337467072,0.763350334366768,1.6608645622374876,3.053401337467072,20702.0
4,420967,1.0,1.5752493663398794,0.043043754023474524,1.0760938505868631,1.6639316211880772,4.3043754023474525,18120.0
5,190577,1.0,1.5787319561122275,0.06045325511473053,1.511331377868263,1.6716178789197804,6.045325511473053,11521.0
6,110865,1.0,1.5811843232760565,0.06488973075361927,1.6222432688404818,1.6811748905320458,6.488973075361927,7194.0
7,47339,1.0,1.581021990325102,0.08510952914087751,2.1277382285219377,1.6794498003800804,8.510952914087751,4029.0
>=8,41878,1.0,1.5781317159367687,0.1099145135870863,2.7478628396771576,1.6826884613180118,10.99145135870863,4603.0
