true_count_bucket,rounds,avg_initial_bet_units,avg_final_wager_units,ev_units_per_round,ev_dollars_per_round,sd_units_per_round,ev_per_initial_bet_pct,profit_units
<=-5,534717,2.0,3.1594824926082397,-0.18059459489786187,-4.514864872446546,2.6481303882731075,-9.029729744893093,-96567.0
-4,433841,2.0,3.1519542874002227,-0.1189652430268232,-2.97413107567058,2.6460409560273246,-5.94826215134116,-51612.0
-3,763051,2.0,3.151165518425374,-0.09828962939567604,-2.4572407348919008,2.644376720895072,-4.914481469783802,-75000.0
-2,1351057,2.0,3.1535582880663067,-0.07641128390586037,-1.9102820976465091,2.6472535313825536,-3.8205641952930187,-103236.0
-1,2459410,2.0,3.1505141477020913,-0.0521088391118195,-1.3027209777954876,2.645767362031411,-2.605441955590975,-128157.0
0,9201918,2.0,3.151201847267059,-0.015203678189699147,-0.3800919547424787,2.647913411649632,-0.7601839094849574,-139903.0
1,2327967,2.0,3.1503947435681003,0.016220590755796797,0.40551476889491994,2.6489539572834095,0.8110295377898398,37761.0
2,1280790,2.0,3.150004294224658,0.042040459403961616,1.0510114850990404,2.6502857098533603,2.102022970198081,53845.0
3,726591,2.0,3.150768451577297,0.06420393316184758,1.6050983290461895,2.6501863350831187,3.2101966580923795,46650.0
4,412950,2.0,3.1522775154377043,0.08530814868628163,2.1327037171570407,2.6533156966009503,4.265407434314081,35228.0
5,234687,2.0,3.1542991303310366,0.10956294980122461,2.7390737450306153,2.6599539221296227,5.478147490061231,25713.0
6,128030,2.0,3.1526985862688433,0.1364836366476607,3.4120909161915174,2.657661668951822,6.824181832383036,17474.0
7,70418,2.0,3.154619557499503,0.15588343889346473,3.8970859723366185,2.659189107461156,7.794171944673237,10977.0
>=8,74573,2.0,3.1616134525900796,0.2059726710739812,5.14931677684953,2.671929894714035,10.29863355369906,15360.0
