true_count_bucket,rounds,avg_initial_bet_units,avg_final_wager_units,ev_units_per_round,ev_dollars_per_round,sd_units_per_round,ev_per_initial_bet_pct,profit_units
<=-5,336626,1.0,1.5804245661357115,-0.07860652474853398,-1.9651631187133496,1.6437341590271215,-7.860652474853398,-26461.0
-4,363523,1.0,1.5769263567917298,-0.06104978226962256,-1.526244556740564,1.6424007657927548,-6.104978226962255,-22193.0
-3,690030,1.0,1.575628595858151,-0.04858194571250525,-1.2145486428126313,1.6455328875999342,-4.858194571250525,-33523.0
-2,1333748,1.0,1.5766359162300525,-0.03791270914745514,-0.9478177286863785,1.6484765830071801,-3.7912709147455144,-50566.0
-1,2507028,1.0,1.5758447851400144,-0.024909574204994917,-0.6227393551248729,1.6494191898980504,-2.490957420499492,-62449.0
0,9832219,1.0,1.5757041213178835,-0.009095708710312494,-0.22739271775781233,1.6542809517991344,-0.9095708710312495,-89431.0
1,2369154,1.0,1.574763818645812,0.009857949293292036,0.2464487323323009,1.6560446636026835,0.9857949293292035,23355.0
2,1258030,1.0,1.5757978744545043,0.018307989475608688,0.4576997368902172,1.661496900418916,1.830798947560869,23032.0
3,651910,1.0,1.5757834670429967,0.028934975686827936,0.7233743921706984,1.663717064755415,2.8934975686827937,18863.0
4,342705,1.0,1.5749872339183846,0.03945667556644928,0.986416889161232,1.6632124227061285,3.9456675566449277,13522.0
5,168828,1.0,1.5746144004549008,0.05246760016111072,1.311690004027768,1.6649538228572167,5.246760016111072,8858.0
6,81557,1.0,1.5767377417021224,0.06867589538604903,1.7168973846512257,1.6736817990205548,6.867589538604902,5601.0
7,36907,1.0,1.5838187877638388,0.08507871135556941,2.1269677838892354,1.6834360843388188,8.50787113555694,3140.0
>=8,27735,1.0,1.577537407607716,0.1051739679105823,2.6293491977645576,1.6788078510702258,10.51739679105823,2917.0
