true_count_bucket,rounds,avg_initial_bet_units,avg_final_wager_units,ev_units_per_round,ev_dollars_per_round,sd_units_per_round,ev_per_initial_bet_pct,profit_units
<=-5,421754,2.0,3.161091536772621,-0.17116850106934375,-4.279212526733594,2.650934257221479,-8.558425053467188,-72191.0
-4,397176,2.0,3.1561549539750637,-0.12385441214977742,-3.0963603037444356,2.6433832407720295,-6.192720607488871,-49192.0
-3,728014,2.0,3.153356940937949,-0.10065465774009841,-2.51636644350246,2.6468891505660292,-5.03273288700492,-73278.0
-2,1349041,2.0,3.1516833068824446,-0.07304892883166635,-1.8262232207916587,2.6454577186387596,-3.6524464415833173,-98546.0
-1,2477468,2.0,3.152486732421973,-0.051794412682625975,-1.2948603170656494,2.64719862499975,-2.5897206341312984,-128319.0
0,9540830,2.0,3.150935610423831,-0.01656375807974778,-0.4140939519936945,2.6483852685421945,-0.828187903987389,-158032.0
1,2343694,2.0,3.1514886329017355,0.017497164732256,0.4374291183064,2.6510289256181725,0.8748582366128002,41008.0
2,1279310,2.0,3.1484284497111723,0.03729901274906004,0.932475318726501,2.648599513153956,1.864950637453002,47717.0
3,689946,2.0,3.1479854945169623,0.05779872627712893,1.4449681569282233,2.6480607513565158,2.8899363138564467,39878.0
4,374909,2.0,3.152666380374971,0.0870051132408131,2.1751278310203275,2.653466512924255,4.350255662040655,32619.0
5,197048,2.0,3.15443952742479,0.11332771710446185,2.833192927611546,2.6530228227425936,5.666385855223093,22331.0
6,103656,2.0,3.1575885621671684,0.1367986416608783,3.4199660415219575,2.66155870876077,6.839932083043914,14180.0
7,51667,2.0,3.1580118837942983,0.1422765014419262,3.556912536048155,2.6661126324211613,7.113825072096309,7351.0
>=8,45487,2.0,3.1583749203069007,0.16965286785235342,4.241321696308836,2.6614788664588374,8.482643392617671,7717.0
