true_count_bucket,rounds,avg_initial_bet_units,avg_final_wager_units,ev_units_per_round,ev_dollars_per_round,sd_units_per_round,ev_per_initial_bet_pct,profit_units
<=-5,269939,2.0,3.1599102019345113,-0.18701632591066872,-4.675408147766718,2.648735420548248,-9.350816295533436,-50483.0
-4,324139,2.0,3.154615766692684,-0.14402154631192174,-3.6005386577980434,2.644423213470551,-7.201077315596087,-46683.0
-3,676914,2.0,3.151620442183202,-0.110330115790189,-2.758252894754725,2.6394152550961394,-5.51650578950945,-74684.0
-2,1372962,2.0,3.153489317257142,-0.07902185202503784,-1.975546300625946,2.6461224607098344,-3.951092601251892,-108494.0
-1,2735660,2.0,3.151087123399838,-0.05165554198986716,-1.291388549746679,2.6466419233170893,-2.582777099493358,-141312.0
0,9540161,2.0,3.150700391743913,-0.01658672217376625,-0.4146680543441562,2.6485605426070973,-0.8293361086883125,-158240.0
1,2588759,2.0,3.149042842535748,0.019011812223540314,0.47529530558850785,2.6476568509767335,0.9505906111770157,49217.0
2,1294092,2.0,3.150813852492713,0.044644430225980844,1.1161107556495211,2.6505580134215587,2.2322215112990422,57774.0
3,637506,2.0,3.15114681273588,0.07151775826423594,1.7879439566058986,2.6506777925036458,3.575887913211797,45593.0
4,304810,2.0,3.1539253961484204,0.09961287359338604,2.490321839834651,2.6552465958595275,4.980643679669302,30363.0
5,141178,2.0,3.152297100114749,0.12265367125189477,3.0663417812973695,2.6537843330039084,6.132683562594739,17316.0
6,63770,2.0,3.153316606554806,0.15024306100047044,3.756076525011761,2.6524389444965295,7.512153050023522,9581.0
7,28194,2.0,3.1556004823721358,0.16379371497481734,4.094842874370434,2.640488307080983,8.189685748740867,4618.0
>=8,21916,2.0,3.1602025917138166,0.14838474174119365,3.7096185435298414,2.6550431443517297,7.419237087059682,3252.0
