true_count_bucket,rounds,avg_initial_bet_units,avg_final_wager_units,ev_units_per_round,ev_dollars_per_round,sd_units_per_round,ev_per_initial_bet_pct,profit_units
<=-5,336393,1.0,1.5781125053137253,-0.09260596980317665,-2.315149245079416,1.6366073491771007,-9.260596980317665,-31152.0
-4,405079,1.0,1.578852520125704,-0.06362709496172352,-1.590677374043088,1.6434176301385992,-6.362709496172352,-25774.0
-3,668869,1.0,1.576500032143813,-0.05055997512218387,-1.2639993780545966,1.6468675059084998,-5.0559975122183864,-33818.0
-2,1501306,1.0,1.5756774435058543,-0.038369925917834204,-0.9592481479458551,1.6459745731206914,-3.8369925917834204,-57605.0
-1,2487772,1.0,1.5758421591689271,-0.026279337495558275,-0.6569834373889569,1.6506188710137282,-2.6279337495558273,-65377.0
0,9484503,1.0,1.5756684351304437,-0.008239335260898753,-0.2059833815224688,1.6542104591311038,-0.8239335260898752,-78146.0
1,2353028,1.0,1.575237098751056,0.008250220566861083,0.20625551417152707,1.6571569396735875,0.8250220566861083,19413.0
2,1428625,1.0,1.5754869192405285,0.021154606702248665,0.5288651675562166,1.6614296111391966,2.1154606702248664,30222.0
3,633836,1.0,1.5761048599322223,0.03410345893890533,0.8525864734726333,1.6644924138767196,3.410345893890533,21616.0
4,383462,1.0,1.5780233765014526,0.04795781589831587,1.1989453974578967,1.6683024017913002,4.795781589831587,18390.0
5,159311,1.0,1.5744675508910244,0.05676946350220637,1.4192365875551594,1.6659811142752095,5.676946350220637,9044.0
6,91385,1.0,1.5775236636209444,0.06753843628604257,1.6884609071510643,1.6691660691913888,6.7538436286042565,6172.0
7,35528,1.0,1.5780792614276065,0.07422314793965323,1.855578698491331,1.6736301482691194,7.422314793965323,2637.0
>=8,30903,1.0,1.581852894540983,0.10060511924408634,2.5151279811021587,1.677277989204995,10.060511924408633,3109.0
