true_count_bucket,rounds,avg_initial_bet_units,avg_final_wager_units,ev_units_per_round,ev_dollars_per_round,sd_units_per_round,ev_per_initial_bet_pct,profit_units
<=-5,413209,2.0,3.162138288372228,-0.2087321428139271,-5.218303570348177,2.6489928030865997,-10.436607140696355,-86250.0
-4,405007,2.0,3.159308357633325,-0.13894821570985194,-3.4737053927462984,2.6471977429530167,-6.947410785492597,-56275.0
-3,765536,2.0,3.153633532583706,-0.11222986247544205,-2.805746561886051,2.64279710045039,-5.611493123772102,-85916.0
-2,1429396,2.0,3.1514059085096084,-0.0812077269000333,-2.030193172500833,2.6437911572638013,-4.060386345001665,-116078.0
-1,2679313,2.0,3.150975268660287,-0.05384253351512123,-1.3460633378780307,2.6438027748827877,-2.6921266757560613,-144261.0
0,8898980,2.0,3.150708732910963,-0.01652627604511978,-0.41315690112799447,2.647277439044888,-0.8263138022559889,-147067.0
1,2545706,2.0,3.1494206322332587,0.01626700019562353,0.4066750048905883,2.6471723474270563,0.8133500097811767,41411.0
2,1359710,2.0,3.1501334843459268,0.04756014150076119,1.1890035375190298,2.650583426702143,2.3780070750380595,64668.0
3,727919,2.0,3.1503656313408497,0.07695086953356074,1.9237717383390185,2.6516761276790928,3.847543476678037,56014.0
4,384808,2.0,3.1522941310991457,0.1046677823745868,2.61669455936467,2.6537459093377107,5.23338911872934,40277.0
5,198924,2.0,3.156803603386218,0.1331915706500975,3.3297892662524378,2.656449817062351,6.659578532504876,26495.0
6,100926,2.0,3.156253096328003,0.1517745675049046,3.7943641876226146,2.664267389333347,7.588728375245229,15318.0
7,49793,2.0,3.1608459020344224,0.18809872873697106,4.7024682184242765,2.666488592585492,9.404936436848553,9366.0
>=8,40773,2.0,3.1665317734775464,0.2217153508449219,5.542883771123047,2.674281978946894,11.085767542246094,9040.0
