true_count_bucket,rounds,avg_initial_bet_units,avg_final_wager_units,ev_units_per_round,ev_dollars_per_round,sd_units_per_round,ev_per_initial_bet_pct,profit_units
<=-5,416344,1.0,1.5806424495129028,-0.10493245969678919,-2.6233114924197296,1.639017644033634,-10.49324596967892,-43688.0
-4,404870,1.0,1.5777138340701953,-0.07163780966730061,-1.7909452416825153,1.6393386072297795,-7.163780966730061,-29004.0
-3,767040,1.0,1.5771446078431373,-0.05667109929078014,-1.4167774822695034,1.6429524701370055,-5.6671099290780145,-43469.0
-2,1435058,1.0,1.5759662675654922,-0.042467969935709914,-1.0616992483927479,1.6454224968082871,-4.2467969935709915,-60944.0
-1,2685767,1.0,1.5760205557667513,-0.027198189567449446,-0.6799547391862362,1.6500641493964923,-2.7198189567449447,-73048.0
0,8845717,1.0,1.5756148427538434,-0.007733007963062802,-0.19332519907657006,1.6536207399005252,-0.7733007963062802,-68404.0
1,2560101,1.0,1.5746242042794405,0.010280453778972002,0.2570113444743,1.6566144937614056,1.0280453778972,26319.0
2,1371596,1.0,1.5751788427496143,0.022846377504746294,0.5711594376186574,1.6604571803625832,2.2846377504746296,31336.0
3,732428,1.0,1.5751377609812842,0.03660154991343859,0.9150387478359648,1.6634509196041782,3.660154991343859,26808.0
4,386405,1.0,1.5764728717278502,0.04966550639872672,1.241637659968168,1.6659620602608882,4.966550639872673,19191.0
5,201356,1.0,1.576461590416973,0.0634001470033175,1.5850036750829375,1.6704176030947462,6.340014700331751,12766.0
6,101397,1.0,1.5793268045405682,0.07301004960699034,1.8252512401747585,1.6779606095733874,7.301004960699035,7403.0
7,49857,1.0,1.579778165553483,0.08079106243857433,2.0197765609643583,1.6821844552243217,8.079106243857431,4028.0
>=8,42064,1.0,1.5805439330543933,0.10980886268543172,2.745221567135793,1.6927605294158057,10.980886268543172,4619.0
