true_count_bucket,rounds,avg_initial_bet_units,avg_final_wager_units,ev_units_per_round,ev_dollars_per_round,sd_units_per_round,ev_per_initial_bet_pct,profit_units
<=-5,334630,2.0,3.160380121328034,-0.1893135702118758,-4.732839255296895,2.6480166740243987,-9.46567851059379,-63350.0
-4,402759,2.0,3.1558376100844425,-0.1381446472952808,-3.4536161823820204,2.6433242268682555,-6.90723236476404,-55639.0
-3,662208,2.0,3.1543442543732483,-0.10596066492703199,-2.6490166231758,2.6474524832756376,-5.2980332463516,-70168.0
-2,1491861,2.0,3.152217264208931,-0.08009124174437163,-2.002281043609291,2.6447141799001104,-4.004562087218582,-119485.0
-1,2477850,2.0,3.152510846096414,-0.051730330730270196,-1.2932582682567548,2.647860153051753,-2.5865165365135097,-128180.0
0,9542381,2.0,3.151095203597509,-0.01810669685060783,-0.4526674212651957,2.646963693636924,-0.9053348425303915,-172781.0
1,2345402,2.0,3.149809286425099,0.01614648576235545,0.4036621440588863,2.6482832789977073,0.8073242881177726,37870.0
2,1418927,2.0,3.1499379460676975,0.043625922968553,1.090648074213825,2.6487120558717407,2.18129614842765,61902.0
3,628559,2.0,3.150052739679171,0.0641721779498822,1.604304448747055,2.6508151486697256,3.2086088974941096,40336.0
4,380534,2.0,3.1525146241860122,0.08424214393457614,2.1060535983644035,2.6529299283129575,4.212107196728807,32057.0
5,158313,2.0,3.1490149261273555,0.10592939303784275,2.648234825946069,2.652730846375727,5.296469651892138,16770.0
6,90391,2.0,3.1506123397240877,0.14096536159573408,3.5241340398933523,2.652555838441299,7.0482680797867046,12742.0
7,35499,2.0,3.1553283191075807,0.1547649229555762,3.869123073889405,2.6658763240115904,7.738246147778811,5494.0
>=8,30686,2.0,3.1560646548914812,0.20748875708792283,5.187218927198071,2.6599390955011435,10.374437854396142,6367.0
