true_count_bucket,rounds,avg_initial_bet_units,avg_final_wager_units,ev_units_per_round,ev_dollars_per_round,sd_units_per_round,ev_per_initial_bet_pct,profit_units
<=-5,537127,1.0,1.5803897402290334,-0.09440970198854275,-2.360242549713569,1.6404073250330011,-9.440970198854275,-50710.0
-4,436447,1.0,1.5790920776176718,-0.056689586593561186,-1.4172396648390297,1.6472207097335496,-5.668958659356119,-24742.0
-3,767852,1.0,1.5764639539911338,-0.05256221250970239,-1.3140553127425596,1.6441351971920828,-5.256221250970239,-40360.0
-2,1355148,1.0,1.5757946733493315,-0.03821796586055545,-0.9554491465138863,1.6474746313948212,-3.8217965860555454,-51791.0
-1,2471702,1.0,1.5761580481789472,-0.026033882725344723,-0.650847068133618,1.649657429852657,-2.603388272534472,-64348.0
0,9147774,1.0,1.5755217608130678,-0.00808087300801266,-0.2020218252003165,1.6544350579707061,-0.808087300801266,-73922.0
1,2343900,1.0,1.5746051452707026,0.007687188019966722,0.19217970049916805,1.6569220857805318,0.7687188019966722,18018.0
2,1290001,1.0,1.575994902329533,0.0209449450039186,0.523623625097965,1.6624872383183613,2.09449450039186,27019.0
3,727705,1.0,1.5765894146666575,0.036099793185425416,0.9024948296356354,1.6632442732004242,3.6099793185425413,26270.0
4,413804,1.0,1.5744845385738175,0.04253946312747098,1.0634865781867744,1.6636775159531692,4.253946312747098,17603.0
5,234900,1.0,1.574563644103874,0.04744146445295871,1.1860366113239678,1.6669416277916294,4.74414644529587,11144.0
6,127925,1.0,1.5750635137776041,0.05756497948016416,1.439124487004104,1.6649277159458507,5.756497948016416,7364.0
7,70471,1.0,1.5787770856096834,0.08586510763292703,2.1466276908231756,1.677743588202072,8.586510763292702,6051.0
>=8,75244,1.0,1.5815746106001807,0.10380894157673702,2.5952235394184253,1.6804250819917934,10.380894157673701,7811.0
